word,normalized_word,rank,priority_score,original_rank,ngsl_rank,supplement_category,oxford_list,oxford_level,nawl_rank,tsl_rank,bsl_rank,sources,notes
over,over,83,29.481049,83,82,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
any,any,84,29.443281,84,83,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
after,after,85,29.405959,85,84,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
day,day,86,29.369075,86,85,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
where,where,87,29.332617,87,86,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
thing,thing,88,29.296577,88,87,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
most,most,89,29.260944,89,88,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
should,should,90,29.225709,90,89,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
need,need,91,29.190865,91,90,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
much,much,92,29.156401,92,91,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
right,right,93,29.122310,93,92,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
how,how,94,29.088585,94,93,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
back,back,95,29.055216,95,94,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
mean,mean,96,29.022197,96,95,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
even,even,97,28.989521,97,96,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
here,here,98,28.925168,99,98,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
many,many,99,28.893478,100,99,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
last,last,100,28.831037,102,101,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
child,child,101,28.800275,103,102,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
tell,tell,102,28.769811,104,103,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
really,really,103,28.712162,106,104,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
call,call,104,28.682533,107,105,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
such,such,105,28.662103,101,100,,oxford3000,a2,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
before,before,106,28.653181,108,106,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
company,company,107,28.624099,109,107,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
through,through,108,28.595283,110,108,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
down,down,109,28.566729,111,109,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
show,show,110,28.538431,112,110,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
life,life,111,28.510385,113,111,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
man,man,112,28.482586,114,112,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
change,change,113,28.455031,115,113,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
place,place,114,28.427714,116,114,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
long,long,115,28.400633,117,115,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
between,between,116,28.373782,118,116,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
feel,feel,117,28.347158,119,117,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
too,too,118,28.320757,120,118,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
still,still,119,28.294575,121,119,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
problem,problem,120,28.268610,122,120,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
write,write,121,28.242856,123,121,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
same,same,122,28.217312,124,122,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
lot,lot,123,28.191972,125,123,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
great,great,124,28.166835,126,124,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
try,try,125,28.141897,127,125,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
leave,leave,126,28.117155,128,126,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
number,number,127,28.092606,129,127,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
both,both,128,28.068246,130,128,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
own,own,129,28.044073,131,129,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
part,part,130,28.020085,132,130,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
point,point,131,27.996277,133,131,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
little,little,132,27.972649,134,132,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
help,help,133,27.949196,135,133,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
ask,ask,134,27.925916,136,134,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
meet,meet,135,27.902807,137,135,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
start,start,136,27.879867,138,136,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
talk,talk,137,27.857092,139,137,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
something,something,138,27.834480,140,138,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
put,put,139,27.812030,141,139,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
another,another,140,27.789739,142,140,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
become,become,141,27.767604,143,141,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
interest,interest,142,27.745624,144,142,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
country,country,143,27.723796,145,143,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
old,old,144,27.702118,146,144,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
each,each,145,27.680588,147,145,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
