Word,Rank,Band,SFI,U
rational,114,3,58.661,73
rationality,633,13,53.385,22
ray,536,11,54.371,27
reactive,701,15,52.33,17
reactor,903,19,46.161,4
readily,330,7,56.553,45
realism,706,15,52.282,17
realistic,590,12,53.836,24
realm,485,10,54.899,31
receptor,30,1,61.36,137
recipe,892,18,46.646,5
reconstruct,547,11,54.215,26
regime,45,1,60.528,113
regression,55,2,59.918,98
rehabilitation,665,14,52.856,19
reinforce,340,7,56.494,45
rejection,428,9,55.563,36
reliability,402,9,55.75,38
render,307,7,56.724,47
repertoire,1,1,72.452,1759
replacement,430,9,55.554,36
replicate,376,8,56.085,41
replication,486,10,54.871,31
reproduce,362,8,56.302,43
reproduction,408,9,55.716,37
republic,766,16,51.139,13
resemble,419,9,55.63,37
reservoir,749,16,51.49,14
residual,293,6,56.798,48
residue,364,8,56.279,42
resistant,525,11,54.502,28
respiratory,614,13,53.617,23
retrieve,631,13,53.413,22
revolutionary,550,12,54.203,26
rewrite,454,10,55.265,34
rhetoric,528,11,54.488,28
rhythm,466,10,55.118,32
ridiculous,926,19,44.415,3
ritual,327,7,56.577,45
robot,50,1,60.055,101
rope,885,18,47.082,5
rotate,596,12,53.812,24
rotation,238,5,57.191,52
rub,908,19,45.945,4
ruler,594,12,53.831,24
scatter,382,8,56.047,40
scenario,250,6,57.103,51
scholarship,511,11,54.601,29
scripture,911,19,45.819,4
scroll,939,19,43.465,2
secrete,727,15,51.868,15
sediment,535,11,54.403,28
selective,322,7,56.637,46
semantic,12,1,62.38,173
semester,901,19,46.324,4
semi,924,19,44.497,3
seminar,800,17,50.37,11
sensation,685,14,52.51,18
sensible,793,16,50.508,11
sensitivity,69,2,59.471,89
sensory,397,8,55.852,38
separately,395,8,55.903,39
separation,192,4,57.743,59
sexuality,641,13,53.225,21
shallow,675,14,52.691,19
shortly,648,13,53.155,21
shuttle,932,19,43.767,2
similarity,70,2,59.459,88
simplify,367,8,56.255,42
simulate,342,7,56.493,45
simulation,43,1,60.642,116
simultaneously,235,5,57.234,53
sin,119,3,58.585,72
singular,272,6,56.917,49
sketch,459,10,55.193,33
skip,861,18,47.907,6
slab,838,17,49.101,8
slash,925,19,44.465,3
slavery,635,13,53.344,22
slot,772,16,50.941,12
snake,826,17,49.471,9
sneeze,954,19,40.815,1
sniff,955,19,40.694,1
socialize,882,18,47.163,5
socially,505,11,54.632,29
sodium,512,11,54.597,29
soluble,737,15,51.627,15
solute,849,18,48.377,7
solvent,836,17,49.177,8
sometime,889,18,46.791,5
sophisticate,501,11,54.672,29
span,277,6,56.893,49
spatial,38,1,60.886,123
specialty,881,18,47.202,5
specification,169,4,57.947,62
specimen,289,6,56.813,48
spectrum,75,2,59.327,86
sperm,164,4,58.012,63
sphere,166,4,57.993,63
splice,806,17,50.174,10
sponsorship,940,19,43.286,2
spontaneous,401,9,55.759,38
spray,840,17,48.819,8
stabilize,604,13,53.738,24
stack,521,11,54.519,28
stadium,956,19,40.67,1
stance,603,13,53.756,24
standardize,495,10,54.795,30
static,390,8,55.96,39
statistical,51,2,60,100
statistically,341,7,56.493,45
statistics,853,18,48.058,6
stereotype,634,13,53.371,22
stimulus,27,1,61.442,139
straightforward,393,8,55.931,39
strand,474,10,55.015,32
strategic,456,10,55.243,33
strictly,315,7,56.653,46
stripe,834,17,49.188,8
sub,790,16,50.634,12
subjective,426,9,55.573,36
subset,85,2,59.149,82
substitution,151,4,58.144,65
substrate,392,8,55.933,39
subtle,555,12,54.148,26
subtract,804,17,50.296,11
sufficiently,194,4,57.734,59
suicide,371,8,56.197,42
super,812,17,49.916,10
superior,269,6,56.934,49
supposedly,783,16,50.778,12
surgeon,830,17,49.328,9
surgical,531,11,54.461,28
surplus,709,15,52.24,17
susceptible,560,12,54.112,26
sustainable,686,14,52.488,18
swap,891,18,46.674,5
swell,785,16,50.746,12
sword,863,18,47.832,6
syllable,101,3,58.821,76
syllabus,896,19,46.543,5
symbolic,309,7,56.714,47
syndrome,122,3,58.505,71
syntactic,86,2,59.143,82
syntax,190,4,57.747,60
synthesis,143,3,58.258,67
synthetic,677,14,52.608,18
systematic,141,3,58.275,67
tech,948,19,42.591,2
technically,819,17,49.646,9
temporal,63,2,59.611,91
tempt,776,16,50.881,12
tense,336,7,56.531,45
terminal,346,7,56.457,44
terminology,541,11,54.32,27
terribly,936,19,43.525,2
textbook,584,12,53.886,24
theorem,31,1,61.319,135
theorist,516,11,54.58,29
thereby,189,4,57.75,60
thermal,437,9,55.466,35
thesis,118,3,58.6,72
thickness,415,9,55.655,37
thread,718,15,52.077,16
threshold,121,3,58.516,71
thumb,854,18,48.036,6
tolerance,439,9,55.447,35
ton,679,14,52.591,18
toxic,760,16,51.236,13
tract,424,9,55.59,36
traditionally,544,11,54.283,27
trait,97,2,58.974,79
trajectory,132,3,58.416,69
trans,661,14,52.946,20
transaction,304,7,56.757,47
transcribe,721,15,52.012,16
transcription,337,7,56.502,45
transformation,37,1,60.981,125
translation,40,1,60.695,117
transmission,109,3,58.718,74
transmit,416,9,55.651,37
transparency,789,16,50.636,12
transplant,646,13,53.206,21
trauma,622,13,53.505,22
treaty,664,14,52.86,19
tremendous,825,17,49.486,9
triangle,543,11,54.284,27
tribe,723,15,51.989,16
tricky,930,19,43.896,2
trivial,602,13,53.767,24
tropical,187,4,57.782,60
tumor,212,5,57.567,57
turbulent,533,11,54.437,28
tutor,811,17,49.932,10
ultimate,467,10,55.098,32
undergraduate,736,15,51.633,15
undermine,471,10,55.052,32
underneath,902,19,46.213,4
unemployed,759,16,51.242,13
unify,475,10,54.965,31
unintelligible,937,19,43.512,2
unity,316,7,56.65,46
unstable,365,8,56.275,42
uplift,856,18,48.006,6
upward,623,13,53.504,22
urine,755,16,51.297,13
usage,262,6,56.996,50
utility,201,5,57.696,59
utilize,310,7,56.699,47
utterance,127,3,58.441,70
vague,753,16,51.407,14
valid,195,4,57.729,59
validity,239,5,57.181,52
valve,433,9,55.504,36
variability,220,5,57.431,55
variance,46,1,60.343,108
variant,176,4,57.888,61
vector,28,1,61.431,139
vegetation,542,11,54.315,27
vein,451,10,55.365,34
velocity,23,1,61.636,146
verbal,204,5,57.644,58
vertical,198,4,57.724,59
viable,629,13,53.435,22
virtue,297,6,56.788,48
vitamin,690,14,52.428,17
vocabulary,126,3,58.444,70
volition,929,19,44.333,3
vowel,52,2,59.968,99
watershed,871,18,47.662,6
wavelength,482,10,54.94,31
weave,794,16,50.467,11
wheat,453,10,55.29,34
whereby,606,13,53.717,24
whichever,913,19,45.489,4
whoever,912,19,45.733,4
widespread,291,6,56.802,48
wisdom,704,15,52.306,17
workshop,479,10,54.948,31
yeast,761,16,51.228,13
